iter	Passed	Remaining
0	20	10362
1	26	6610
2	33	5509
3	43	5399
4	46	4642
5	80	6606
6	97	6881
7	110	6824
8	125	6839
9	131	6425
10	137	6108
11	144	5859
12	150	5648
13	157	5450
14	177	5743
15	184	5577
16	196	5576
17	216	5796
18	222	5640
19	228	5486
20	233	5322
21	246	5356
22	253	5250
23	268	5320
24	275	5233
25	326	5951
26	331	5811
27	358	6042
28	372	6052
29	377	5919
30	384	5823
31	388	5686
32	475	6722
33	483	6629
34	489	6501
35	498	6425
36	510	6389
37	519	6312
38	526	6222
39	539	6200
40	544	6092
41	549	5991
42	556	5915
43	562	5825
44	566	5730
45	570	5631
46	577	5570
47	585	5510
48	609	5606
49	621	5597
50	628	5535
51	714	6159
52	745	6288
53	752	6215
54	760	6155
55	774	6140
56	790	6144
57	800	6097
58	818	6118
59	831	6098
60	838	6034
61	847	5988
62	851	5908
63	856	5834
64	861	5765
65	865	5691
66	871	5632
67	881	5599
68	893	5580
69	916	5629
70	931	5628
71	938	5580
72	945	5528
73	950	5470
74	953	5400
75	964	5380
76	980	5384
77	984	5325
78	991	5281
79	994	5220
80	998	5163
81	1002	5111
82	1009	5071
83	1012	5015
84	1017	4967
85	1022	4920
86	1028	4881
87	1033	4838
88	1039	4799
89	1044	4758
90	1050	4719
91	1055	4680
92	1061	4643
93	1065	4599
94	1070	4563
95	1076	4529
96	1081	4492
97	1095	4495
98	1111	4503
99	1117	4100	1156	4568
101	101	1170	4565
102	1186	4571
103	1197	4559
104	1211	4558
105	1220	4536
106	1228	4513
107	1241	4507
108	1263	4533
109	1270	4503
110	1277	4475
111	1289	4468
112	1294	4433
113	1299	4401
114	1319	4416
115	1322	4376
116	1335	4370
117	1340	4338
118	1344	4306
119	1348	4269
120	1351	4233
121	1356	4202
122	1360	4169
123	1365	4124	1401	4203125	1125	1378	126	1126	1382	127	1127	1386	128	1421	4087
129	1129	1399	130	1431	4033
131	1131	1409	132	1443	3982
133	1448	3956
134	1454	3932
1135	1462	39141136	1467	38881137	1476	38741138	1480	38451139	1485	38191140	1497	38131141	1502	37861142	1507	37641143	1515	3747
144	1520	3722
145	1526	3701146	1529	3671
147	1538	3658
1148	1557	36681149	149	1544	3603
150	1568	3625
151	1594	3651
152	1603	3636
153	1610	3618
154	1615	3596
155	1619	3570
156	1629	3558
157	1632	3533
158	1636	3509
159	1639	160	1673	3524
161	1161	1665	3474
162	1669	3451
163	1677	1164	164	1681	165	1720	3460
166	1734	3459
1167	1748	3456168	1746	3421
1169	1769	3434
170	1776	3418
171	1787	3408
172	1803	3408
173	1827	3424
174	1846	3428
175	1858	3420
176	1865	3404
177	1871	3386
178	1881	3373
179	1892	3364
180	1897	3345
181	1902	33241182	1905	33001183	1911	32831184	1917	32641185	1922	32451186	1928	32271187	1933	32081188	1938	31901189	1943	31701190	1948	31521191	1954	31341192	1958	31151193	1964	3098
194	1969	3080
195	1973	3061
196	1979	3044
197	1984	3026
198	1988	3008
199	1993	2990
200	1998	2972
201	2003	2955
202	2009	2940
203	2014	2923
204	2019	2905
205	2023	2888
206	2029	2872
207	2033	2854
208	2037	2837
209	2042	2820
210	2047	2804
211	2051	2787
212	2056	2771
213	2061	2754
214	2065	2738
215	2070	2722
216	2075	2706
217	2079	2690
218	2085	2676
219	2089	2659
220	2095	2645
221	2101	2631
222	2108	2618
223	2114	2605
224	2120	2592
225	2126	2577
226	2132	2564
227	2137	2549
228	2143	2536
229	2147	2521
230	2152	2506
231	2158	2493
232	2163	2479
233	2168	2465
234	2174	2452
235	2179	2438
236	2185	2425
237	2191	2412
238	2197	2400
239	2202	2386
240	2208	2373
241	2214	2360
242	2221	2349
243	2226	2335
244	2231	2322
245	2237	2309
246	2241	2296
247	2249	2285
248	2255	2273
249	2261	2261
250	2332	2313
251	2392	2354
252	2400	2343
253	2406	2330
254	2415	2320
255	2426	2312
256	2433	2300
257	2440	2289
258	2445	2275
259	2452	2263
260	2458	2251
261	2465	2239
262	2472	2228
263	2481	2218
264	2489	2207
265	2495	2195
266	2503	2184
267	2513	2175
268	2520	2164
269	2528	2154
270	2534	2142
271	2541	2130
272	2547	2117
273	2554	2107
274	2560	2095
275	2568	2084
276	2576	2073
277	2583	2062
278	2588	2050
279	2593	2037
280	2598	2025
281	2604	2013
282	2611	2002
283	2618	1991
284	2625	1980
285	2632	1969
286	2637	1957
287	2642	1944
288	2647	1933
289	2652	1920
290	2656	1908
291	2662	1896
292	2667	1884
293	2673	1873
294	2678	1861
295	2683	1849
296	2687	1837
297	2692	1825
298	2696	1812
299	2700	1800
300	2705	1788
301	2711	1777
302	2715	1765
303	2720	1754
304	2727	1743
305	2732	1732
306	2739	1722
307	2745	1711
308	2750	1700
309	2756	1689
310	2761	1678
311	2766	1666
312	2769	1654
313	2775	1644
314	2780	1632
315	2785	1621
316	2790	1610
317	2795	1599
318	2800	1588
319	2806	1578
320	2816	1570
321	2820	1559
322	2844	1558
323	2870	1559
324	2890	1556
325	2898	1546
326	2910	15393327	2924	15333328	2929	15223329	2955	1522
330	3010	1537
331	3013	1524
332	3016	1513
333	3021	1501
334	3025	1490
335	3035	1481
336	3049	1474
337	3060	1466
338	3064	1455
339	3071	1445
340	3079	1436
341	3083	1424
342	3088	1413
343	3108	1409
344	3113	1398
345	3119	1388
346	3127	1378
347	3137	1370
348	3143	1360
349	3149	1349
350	3153	1338
351	3160	1328
352	3165	1318
353	3170	1307
354	3174	1296
355	3178	1285
356	3183	1275
357	3188	1264
358	3194	1254
359	3202	1245
360	3206	1234
