,ID,Year_Birth,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Target,Days_Since_Registration,Age,FamilySize,YearsSinceRegistration,TotalSpend,TotalAcceptedCampaigns,TotalPurchases,WebProportion,CatalogProportion,StoreProportion,WebConversionRatio
ID,1.0,0.017780749273393084,0.03260595303974845,-0.014925583026387391,-0.0017338979684038036,-0.04627678962323375,0.006842452009924453,0.028203521048280233,0.026392643550555206,-0.0013459682480579831,0.010109048030057922,0.01125959978674343,-0.03566149523871466,-0.0029581716076348586,0.019186369981682317,-1.9701255653799176e-05,-0.035881891845802726,-0.033442862696448486,-0.017406225496746103,0.015696931218247584,-0.009004870811552995,0.008066115133201435,0.04447617659958246,,,-0.014412849904329833,-0.006243215989852418,-0.01778074927339795,-0.011917209960229132,-0.006243215989852541,0.017144748110581958,-0.015742709132281842,0.0067481360208322206,-0.014307062641054896,0.009694586253348575,-0.004570919596483797,0.025738706577264583
Year_Birth,0.017780749273393084,1.0,-0.21086426129293556,0.24445089141695595,-0.3383777098804838,-0.031686878634043146,-0.1769894904829493,-0.024426679900271094,-0.04186860144011939,-0.05309393671560162,-0.014595151045585598,-0.07137217104983577,-0.0534188952583845,-0.15564779090394765,-0.1442973742872388,-0.14587480988567061,0.11615673451543271,0.04890007403396905,-0.0774112111393349,-0.0038512611513354653,-0.020429454867821193,-0.022362316648989494,-0.02614673276042561,,,-0.12802355763471523,-0.0057529303320691845,-0.9999999999999993,-0.06817514512959146,-0.005752930332069527,-0.12943362303413916,-0.024316495203063587,-0.18297058755681686,0.018171164548579016,-0.13904247435163658,0.11470825464028868,-0.0964756807394748
Income,0.03260595303974845,-0.21086426129293556,1.0,-0.5251374458120983,0.043635465050348,-0.01987162240325146,0.6936669615885688,0.5275472317598099,0.669237218529458,0.5451886646738935,0.5320141091035894,0.40295090186756766,-0.11718067695801218,0.4959044848244858,0.6819595421863021,0.6617124295539282,-0.659239647011078,-0.04416926582382701,0.23548998920595135,0.4073980848754705,0.3451355683486531,0.09834737135286273,-0.03757900545462274,,,0.3924961972262017,-0.025194625460550107,0.21086426129293412,-0.34415696881617797,-0.02519462546055047,0.799199611248759,0.37210281619912383,0.7627031558049602,-0.21125095405382013,0.5715314509659258,-0.35472791686238814,0.6391942405235469
Kidhome,-0.014925583026387391,0.24445089141695595,-0.5251374458120983,1.0,-0.02612937898342172,0.007079160414846942,-0.4809902651696277,-0.3807196160117674,-0.430506010964788,-0.40260304433917815,-0.3760934224347685,-0.3127227209197077,0.21786006127678711,-0.3677872486935315,-0.5088014701790633,-0.5040651784377888,0.4461854012997304,0.027817182899514546,-0.14928066122421882,-0.19424572599356205,-0.16582292091400835,-0.06988028789145198,0.03254811985424033,,,-0.29272050565332336,-0.06883557277021438,-0.24445089141695556,0.6962672696890808,-0.06883557277021415,-0.5484365847021605,-0.19366196713619147,-0.5728905763851884,0.19797640959724455,-0.4644097995931322,0.2893050691292936,-0.42842520533487316
Teenhome,-0.0017338979684038036,-0.3383777098804838,0.043635465050348,-0.02612937898342172,1.0,0.019216508950000315,0.010833519957638421,-0.17924240439076214,-0.2643108393506176,-0.21426671075460654,-0.17102169801520628,-0.03551404211008934,0.38314398335573696,0.13866210501427376,-0.1152047395504404,0.06243085268100843,0.1427266382781707,-0.051545557618401204,0.03515745132539126,-0.18649380476277677,-0.14088174108222093,-0.02650341867509227,5.906547726657152e-05,,,0.15445804227671348,0.009067328797188613,0.3383777098804884,0.6993445154616855,0.00906732879718894,-0.13895694602954525,-0.13217343046714627,0.0327101275828852,0.10395640699798818,-0.11399791834891518,0.04053787597604413,-0.15755069750370973
Recency,-0.04627678962323375,-0.031686878634043146,-0.01987162240325146,0.007079160414846942,0.019216508950000315,1.0,-0.005341292930686975,-0.02474128970044749,0.005077981469766569,-0.006172650356894464,0.0005492466780883046,0.019057398969704677,0.01908796878313331,-0.005142378562044812,0.01222398495214971,-0.00921507082803016,-0.005801441261570636,-0.04669554702560951,0.008545888253574226,-0.027163957962139443,-0.039735486131947974,-0.030410481617344044,0.0033781219651376534,,,-0.3281900153174449,0.00967702201908545,0.03168687863404241,0.018859791400210473,0.00967702201908581,-0.0016202799358177482,-0.04426606736162981,-0.0010616887854028338,-0.009685368587450359,0.027795522298424552,-0.022295692232287303,-0.023659768025370224
MntWines,0.006842452009924453,-0.1769894904829493,0.6936669615885688,-0.4809902651696277,0.010833519957638421,-0.005341292930686975,1.0,0.36328405980617934,0.55181746739329,0.3880078389476293,0.35669886267916406,0.3534701279190021,0.005989833984813077,0.5316325908260676,0.6037999754534249,0.6175893108998824,-0.31674544959693435,0.02581039809939953,0.3865966408158137,0.4298872456415088,0.33268976024940405,0.16990455239887056,-0.045325219606214204,,,0.499265942082046,0.1118179271955275,0.17698949048294738,-0.33614316695673346,0.11181792719552755,0.8864463783486681,0.4745525955653126,0.7241544439206115,-0.12633949241676704,0.4967660351589834,-0.3560486747143112,0.450558399132638
MntFruits,0.028203521048280233,-0.024426679900271094,0.5275472317598099,-0.3807196160117674,-0.17924240439076214,-0.02474128970044749,0.36328405980617934,1.0,0.5304076846255554,0.5972767590108199,0.5743176751080343,0.37750342715850244,-0.13270749119339276,0.31870014586623924,0.482886246625747,0.43682824599630027,-0.43034504798151146,0.007405074223102509,0.01317849948492997,0.24025063745624026,0.20008757124148416,0.002967625946151593,-0.011894931146836594,,,0.19312054882864102,0.039676129700397494,0.024426679900272277,-0.40092654932059496,0.03967612970039732,0.5981076974538335,0.17235532111711144,0.5136542928666762,-0.1517556384594185,0.41818519673125704,-0.2654213719901838,0.4668560918799522
MntMeatProducts,0.026392643550555206,-0.04186860144011939,0.669237218529458,-0.430506010964788,-0.2643108393506176,0.005077981469766569,0.55181746739329,0.5304076846255554,1.0,0.5737776711355278,0.5521312075858475,0.35791287679143946,-0.12461473555365507,0.34361923147009305,0.7005654217204165,0.4744159044307346,-0.5355830223994653,0.0003267980365350268,0.10367196008245022,0.3694261766641085,0.3177325354146781,0.04031602837910666,-0.037173852362632216,,,0.2928973855918514,0.05492020871549904,0.04186860144011491,-0.4976067592075559,0.05492020871549813,0.8421502364384257,0.3032474948690833,0.6290911926995658,-0.23272277105514014,0.5890906075987679,-0.36112753748715054,0.5912091437949877
MntFishProducts,-0.0013459682480579831,-0.05309393671560162,0.5451886646738935,-0.40260304433917815,-0.21426671075460654,-0.006172650356894464,0.3880078389476293,0.5972767590108199,0.5737776711355278,1.0,0.5834807516190252,0.4055176708231035,-0.15270639246328346,0.31677382686816313,0.5386183548888333,0.44123637743690924,-0.4488289195084549,0.015355690696362272,0.02209330747637255,0.20490341942828713,0.2772796359056515,0.015858841666623068,-0.023394964588677125,,,0.22214977197512584,0.0660239557784587,0.05309393671560119,-0.4417222575926094,0.06602395577845853,0.6414343198877748,0.19555464782828394,0.5377575843184799,-0.17801164865880917,0.4710850391364049,-0.2939897253050393,0.4769937330454171
