Feature,Importance
Recency,0.12622475235594363
TotalPurchases,0.1168970706089698
MntWines,0.10796334633414376
NumWebPurchases,0.09462433796464788
TotalSpend,0.09197365356564367
TotalAcceptedCampaigns,0.08808818645679406
NumCatalogPurchases,0.047233527631830835
Income,0.03621456382057049
MntMeatProducts,0.028490928937702383
WebConversionRatio,0.025318696203546123
AcceptedCmp5,0.02514817889085949
NumWebVisitsMonth,0.025023950831363134
WebProportion,0.01685208512587318
NumStorePurchases,0.016655340908919503
StoreProportion,0.014796675612556992
AcceptedCmp4,0.013610039396853992
Teenhome,0.012933948460518657
CatalogProportion,0.010598879325813158
AcceptedCmp3,0.010581445413145195
FamilySize,0.008232807980230976
ID,0.008227373429055527
MntGoldProds,0.00821259990924234
MntSweetProducts,0.007742559518494844
Days_Since_Registration,0.007328679217064615
Year_Birth,0.0071289954360370935
NumDealsPurchases,0.006941256512408487
MntFruits,0.006656654563953462
Age,0.0065883371168827766
YearsSinceRegistration,0.006427811082201175
Kidhome,0.005769680338365484
MntFishProducts,0.005701498611651201
AcceptedCmp1,0.004264975594802761
AcceptedCmp2,0.0013537851711140577
Complain,0.00019337767279901502
Z_Revenue,0.0
Z_CostContact,0.0
