ID,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Target,Days_Since_Registration,Age,FamilySize,YearsSinceRegistration,TotalSpend,TotalAcceptedCampaigns,TotalPurchases,WebProportion,CatalogProportion,StoreProportion,WebConversionRatio,ChildAdultRatio,IncomePerMember,HasChildren,TotalSpent,WinesRatio,FruitsRatio,MeatProductsRatio,FishProductsRatio,SweetProductsRatio,GoldProdsRatio,SpentPerPerson,SpendingVolatility,WebRatio,CatalogRatio,StoreRatio,AvgBasketSize,WebEngagementRatio,CampaignAcceptanceRate,TenureYears,PurchaseFrequency,DealRatio,RecencyRatio,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Education_Unknown,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_Unknown,Age_x_Income,WebEngagement_x_Age
5524,58138.0,0,0,58,635.0,88.0,546.0,172.0,88.0,88.0,3,8,10,4,7,0,0,0,0,0,0,3,11,1,4762,68,1,13.037645448323067,1617.0,0,22,0.36363636363636365,0.45454545454545453,0.18181818181818182,1.1428571428571428,0.0,58138.0,0,1617.0,0.39270255,0.054421768,0.33766234,0.10636982,0.054421768,0.054421768,1617.0,252.33926,0.36363636363636365,0.45454545454545453,0.18181818181818182,73.5,0.875,0.0,13.037645448323067,1.6874212515749685,0.13636363636363635,0.012179756404871903,False,True,False,False,False,False,False,True,False,False,False,3953.384,0.595
2174,46344.0,1,1,38,11.0,1.0,6.0,2.0,1.0,6.0,2,1,1,2,5,0,0,0,0,0,0,3,11,0,3916,71,3,10.72142368240931,27.0,0,4,0.25,0.25,0.5,0.2,2.0,15448.0,1,27.0,0.4074074,0.037037037,0.22222222,0.074074075,0.037037037,0.22222222,9.0,3.9370039,0.25,0.25,0.5,6.75,5.0,0.0,10.72142368240931,0.3730847803881512,0.5,0.009703779366700716,False,True,False,False,False,False,False,True,False,False,False,3290.424,3.55
4141,71613.0,0,0,26,426.0,49.0,127.0,111.0,21.0,42.0,1,8,2,10,4,0,0,0,0,0,0,3,11,1,4335,60,1,11.868583162217659,776.0,0,20,0.4,0.1,0.5,2.0,0.0,71613.0,0,776.0,0.5489691,0.063144326,0.1636598,0.14304124,0.027061855,0.05412371,776.0,151.1088,0.4,0.1,0.5,38.8,0.5,0.0,11.868583162217659,1.685121107266436,0.05,0.0059976931949250285,False,True,False,False,False,False,False,False,True,False,False,4296.78,0.3
6182,26646.0,1,0,26,11.0,4.0,20.0,10.0,3.0,5.0,2,2,0,4,6,0,0,0,0,0,0,3,11,0,3856,41,2,10.557152635181383,53.0,0,6,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,1.0,13323.0,1,53.0,0.20754717,0.0754717,0.3773585,0.18867925,0.056603774,0.094339624,26.5,6.3691964,0.3333333333333333,0.0,0.6666666666666666,8.833333333333334,3.0,0.0,10.557152635181383,0.5683350622406639,0.3333333333333333,0.006742738589211619,False,True,False,False,False,False,False,False,True,False,False,1092.486,1.23
5324,58293.0,1,0,94,173.0,43.0,118.0,46.0,27.0,15.0,5,5,3,6,5,0,0,0,0,0,0,3,11,0,4335,44,2,11.868583162217659,422.0,0,14,0.35714285714285715,0.21428571428571427,0.42857142857142855,1.0,1.0,29146.5,1,422.0,0.4099526,0.101895735,0.27962086,0.109004736,0.06398104,0.035545025,211.0,61.792126,0.35714285714285715,0.21428571428571427,0.42857142857142855,30.142857142857142,1.0,0.0,11.868583162217659,1.1795847750865052,0.35714285714285715,0.02168396770472895,False,False,False,True,False,False,True,False,False,False,False,2564.892,0.44
7446,62513.0,0,1,16,520.0,42.0,98.0,0.0,42.0,14.0,2,6,4,10,6,0,0,0,0,0,0,3,11,1,4244,58,2,11.619438740588638,716.0,0,20,0.3,0.2,0.5,1.0,1.0,31256.5,1,716.0,0.72625697,0.05865922,0.1368715,0.0,0.05865922,0.019553073,358.0,199.14082,0.3,0.2,0.5,35.8,1.0,0.0,11.619438740588638,1.721253534401508,0.1,0.003770028275212064,False,False,True,False,False,False,False,False,True,False,False,3625.754,0.58
965,55635.0,0,1,34,235.0,65.0,164.0,50.0,49.0,27.0,4,7,3,7,6,0,0,0,0,0,0,3,11,1,4335,54,2,11.868583162217659,590.0,0,17,0.4117647058823529,0.17647058823529413,0.4117647058823529,1.1666666666666667,1.0,27817.5,1,590.0,0.3983051,0.11016949,0.2779661,0.084745765,0.08305085,0.04576271,295.0,82.41278,0.4117647058823529,0.17647058823529413,0.4117647058823529,34.705882352941174,0.8571428571428571,0.0,11.868583162217659,1.4323529411764706,0.23529411764705882,0.00784313725490196,False,True,False,False,False,True,False,False,False,False,False,3004.29,0.46285714285714286
6177,33454.0,1,0,32,76.0,10.0,56.0,3.0,1.0,23.0,2,4,0,4,8,0,0,0,0,0,0,3,11,0,4279,40,2,11.715263518138261,169.0,0,8,0.5,0.0,0.5,0.5,1.0,16727.0,1,169.0,0.44970414,0.0591716,0.33136094,0.01775148,0.00591716,0.13609467,84.5,30.954268,0.5,0.0,0.5,21.125,2.0,0.0,11.715263518138261,0.6828698293993923,0.25,0.007478382799719561,False,False,False,True,False,False,True,False,False,False,False,1338.16,0.8
4855,30351.0,1,0,19,14.0,0.0,24.0,3.0,3.0,2.0,1,3,0,2,9,0,0,0,0,0,0,3,11,1,4339,51,2,11.879534565366187,46.0,0,5,0.6,0.0,0.4,0.3333333333333333,1.0,15175.5,1,46.0,0.3043478,0.0,0.5217391,0.06521739,0.06521739,0.04347826,23.0,9.395035,0.6,0.0,0.4,9.2,3.0,0.0,11.879534565366187,0.4208919105784743,0.2,0.004378889144964277,False,False,False,True,False,False,False,False,True,False,False,1547.901,1.53
5899,5648.0,1,1,68,28.0,0.0,6.0,1.0,1.0,13.0,1,1,0,0,20,1,0,0,0,0,0,3,11,0,4335,75,3,11.868583162217659,49.0,1,1,1.0,0.0,0.0,0.05,2.0,1882.6666666666667,1,49.0,0.5714286,0.0,0.12244898,0.020408163,0.020408163,0.26530612,16.333334,10.870449,1.0,0.0,0.0,49.0,20.0,0.2,11.868583162217659,0.0842560553633218,1.0,0.01568627450980392,False,False,False,True,False,False,False,False,True,False,False,423.6,15.0
