Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Target,Days_Since_Registration,Age,FamilySize,TotalSpent,SpentPerPerson,TotalPurchases,NumWebPurchases_Ratio,NumCatalogPurchases_Ratio,NumStorePurchases_Ratio,CampaignAcceptanceRate,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Education_Unknown,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_Unknown
58138.0,0,0,58,635.0,88.0,546.0,172.0,88.0,88.0,3,8,10,4,7,0,0,0,0,0,0,3,11,1,4762.0,68,1,1617.0,1617.0,22,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.0,False,True,False,False,False,False,False,True,False,False,False
46344.0,1,1,38,11.0,1.0,6.0,2.0,1.0,6.0,2,1,1,2,5,0,0,0,0,0,0,3,11,0,3916.0,71,3,27.0,9.0,4,0.25,0.25,0.5,0.0,False,True,False,False,False,False,False,True,False,False,False
71613.0,0,0,26,426.0,49.0,127.0,111.0,21.0,42.0,1,8,2,10,4,0,0,0,0,0,0,3,11,1,,60,1,776.0,776.0,20,0.4,0.1,0.5,0.0,False,True,False,False,False,False,False,False,True,False,False
26646.0,1,0,26,11.0,4.0,20.0,10.0,3.0,5.0,2,2,0,4,6,0,0,0,0,0,0,3,11,0,3856.0,41,2,53.0,26.5,6,0.3333333333333333,0.0,0.6666666666666666,0.0,False,True,False,False,False,False,False,False,True,False,False
58293.0,1,0,94,173.0,43.0,118.0,46.0,27.0,15.0,5,5,3,6,5,0,0,0,0,0,0,3,11,0,,44,2,422.0,211.0,14,0.35714285714285715,0.21428571428571427,0.42857142857142855,0.0,False,False,False,True,False,False,True,False,False,False,False
62513.0,0,1,16,520.0,42.0,98.0,0.0,42.0,14.0,2,6,4,10,6,0,0,0,0,0,0,3,11,1,4244.0,58,2,716.0,358.0,20,0.3,0.2,0.5,0.0,False,False,True,False,False,False,False,False,True,False,False
55635.0,0,1,34,235.0,65.0,164.0,50.0,49.0,27.0,4,7,3,7,6,0,0,0,0,0,0,3,11,1,,54,2,590.0,295.0,17,0.4117647058823529,0.17647058823529413,0.4117647058823529,0.0,False,True,False,False,False,True,False,False,False,False,False
33454.0,1,0,32,76.0,10.0,56.0,3.0,1.0,23.0,2,4,0,4,8,0,0,0,0,0,0,3,11,0,4279.0,40,2,169.0,84.5,8,0.5,0.0,0.5,0.0,False,False,False,True,False,False,True,False,False,False,False
30351.0,1,0,19,14.0,0.0,24.0,3.0,3.0,2.0,1,3,0,2,9,0,0,0,0,0,0,3,11,1,4339.0,51,2,46.0,23.0,5,0.6,0.0,0.4,0.0,False,False,False,True,False,False,False,False,True,False,False
5648.0,1,1,68,28.0,0.0,6.0,1.0,1.0,13.0,1,1,0,0,20,1,0,0,0,0,0,3,11,0,,75,3,49.0,16.333334,1,1.0,0.0,0.0,0.2,False,False,False,True,False,False,False,False,True,False,False
51277.0,1,0,11,5.0,5.0,6.0,0.0,2.0,1.0,1,1,0,2,7,0,0,0,0,0,0,3,11,1,,42,2,19.0,9.5,3,0.3333333333333333,0.0,0.6666666666666666,0.0,False,True,False,False,False,False,True,False,False,False,False
